genotype	Flowering_date	Flowering_date_log10	Plant_height	Plant_height_log10	Plant_width	Plant_width_log10	Stem_number	Stem_number_log10	Fresh_weight	Fresh_weight_log10
Aa4042_8	52	1.716003344	20	1.301029996	20	1.301029996	6	0.77815125	8.3	0.919078092
Aa4177_1	66	1.819543936	21	1.322219295	15	1.176091259	3	0.477121255	4.6	0.662757832
Aa4177_2	100	2	27	1.431363764	20	1.301029996	6	0.77815125	9.7	0.986771734
Aa4177_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4177_5	100	2	40	1.602059991	25	1.397940009	8	0.903089987	49.9	1.698100546
Aa4177_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4177_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4177_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4178_1	62.5	1.795880017	37	1.568201724	45	1.653212514	38	1.579783597	241.6	2.38309693
Aa4178_2	62.5	1.795880017	48	1.681241237	57	1.755874856	31	1.491361694	393.8	2.595275712
Aa4178_3	66	1.819543936	53	1.72427587	40	1.602059991	34	1.531478917	317.8	2.502153893
Aa4178_4	66	1.819543936	48	1.681241237	90	1.954242509	61	1.785329835	323.2	2.509471352
Aa4178_5	45	1.653212514	33	1.51851394	34	1.531478917	18	1.255272505	187.8	2.273695588
Aa4178_6	66	1.819543936	44	1.643452676	30	1.477121255	9	0.954242509	121.1	2.083144143
Aa4178_7	62.5	1.795880017	50	1.698970004	70	1.84509804	30	1.477121255	373.3	2.57205799
Aa4178_8	69.5	1.841984805	54	1.73239376	90	1.954242509	11	1.041392685	274.9	2.43917474
Aa4184_1	62.5	1.795880017	22	1.342422681	30	1.477121255	6	0.77815125	11	1.041392685
Aa4184_2	100	2	10	1	10	1	2	0.301029996	1.9	0.278753601
Aa4184_3	62.5	1.795880017	25	1.397940009	25	1.397940009	13	1.113943352	31.3	1.495544338
Aa4184_4	55.5	1.744292983	32	1.505149978	59	1.770852012	20	1.301029996	89.2	1.950364854
Aa4184_5	62.5	1.795880017	28	1.447158031	25	1.397940009	9	0.954242509	18.4	1.264817823
Aa4184_6	55.5	1.744292983	35	1.544068044	40	1.602059991	30	1.477121255	81.3	1.910090546
Aa4184_7	59	1.770852012	33	1.51851394	65	1.812913357	40	1.602059991	82.6	1.916980047
Aa4184_8	52	1.716003344	32	1.505149978	59	1.770852012	11	1.041392685	65	1.812913357
Aa4190_1	100	2	38	1.579783597	33	1.51851394	18	1.255272505	109.7	2.040206628
Aa4190_2	73	1.86332286	28	1.447158031	15	1.176091259	4	0.602059991	7.9	0.897627091
Aa4190_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4190_4	59	1.770852012	33	1.51851394	20	1.301029996	19	1.278753601	76.3	1.882524538
Aa4190_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4190_6	100	2	31	1.491361694	20	1.301029996	16	1.204119983	46.4	1.666517981
Aa4190_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4190_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4203_1	59	1.770852012	62	1.792391689	25	1.397940009	52	1.716003344	1107	3.044147621
Aa4203_2	66	1.819543936	65	1.812913357	20	1.301029996	172	2.235528447	1553.1	3.19119942
Aa4203_3	100	2	40	1.602059991	15	1.176091259	19	1.278753601	181.6	2.259115844
Aa4203_4	100	2	55	1.740362689	20	1.301029996	120	2.079181246	998.6	2.999391562
Aa4203_5	80	1.903089987	70	1.84509804	15	1.176091259	32	1.505149978	531	2.725094521
Aa4203_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4203_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4203_8	73	1.86332286	60	1.77815125	25	1.397940009	83	1.919078092	975.1	2.989049156
Aa4204_1	69.5	1.841984805	40	1.602059991	55	1.740362689	74	1.86923172	382	2.582063363
Aa4204_2	73	1.86332286	32	1.505149978	45	1.653212514	28	1.447158031	153	2.184691431
Aa4204_3	76.5	1.883661435	36	1.556302501	60	1.77815125	93	1.968482949	426	2.629409599
Aa4204_4	76.5	1.883661435	35	1.544068044	63	1.799340549	120	2.079181246	402.4	2.604657972
Aa4204_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4204_6	80	1.903089987	41	1.612783857	72	1.857332496	42	1.62324929	261.3	2.41713941
Aa4204_7	100	2	26	1.414973348	25	1.397940009	35	1.544068044	51.2	1.709269961
Aa4204_8	76.5	1.883661435	27	1.431363764	30	1.477121255	25	1.397940009	116	2.064457989
Aa4205_1	69.5	1.841984805	25	1.397940009	13	1.113943352	4	0.602059991	3.5	0.544068044
Aa4205_2	66	1.819543936	28	1.447158031	10	1	3	0.477121255	3.4	0.531478917
Aa4205_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4205_4	55.5	1.744292983	48	1.681241237	32	1.505149978	60	1.77815125	350.9	2.545183368
Aa4205_5	62.5	1.795880017	65	1.812913357	15	1.176091259	28	1.447158031	183.3	2.263162465
Aa4205_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4205_7	55.5	1.744292983	46	1.662757832	20	1.301029996	47	1.672097858	129.2	2.111262514
Aa4205_8	59	1.770852012	40	1.602059991	27	1.431363764	35	1.544068044	96.1	1.982723388
Aa4208_1	80	1.903089987	29	1.462397998	20	1.301029996	28	1.447158031	94.3	1.974511693
Aa4208_2	59	1.770852012	34	1.531478917	72	1.857332496	124	2.093421685	390.2	2.591287265
Aa4208_3	69.5	1.841984805	26	1.414973348	35	1.544068044	45	1.653212514	132.5	2.122215878
Aa4208_4	59	1.770852012	28	1.447158031	50	1.698970004	74	1.86923172	145.2	2.161966616
Aa4208_5	59	1.770852012	26	1.414973348	40	1.602059991	112	2.049218023	130.7	2.116275588
Aa4208_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4208_7	66	1.819543936	23	1.361727836	40	1.602059991	65	1.812913357	84.3	1.925827575
Aa4208_8	59	1.770852012	31	1.491361694	48	1.681241237	82	1.913813852	198.5	2.297760511
Aa4210_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4210_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4210_3	66	1.819543936	55	1.740362689	80	1.903089987	25	1.397940009	127.6	2.105850674
Aa4210_4	66	1.819543936	25	1.397940009	20	1.301029996	5	0.698970004	16.8	1.225309282
Aa4210_5	69.5	1.841984805	58	1.763427994	35	1.544068044	24	1.380211242	226.8	2.35564305
Aa4210_6	59	1.770852012	50	1.698970004	70	1.84509804	7	0.84509804	64.5	1.809559715
Aa4210_7	69.5	1.841984805	55	1.740362689	25	1.397940009	2	0.301029996	19.64	1.293141483
Aa4210_8	73	1.86332286	50	1.698970004	40	1.602059991	23	1.361727836	100.9	2.003891166
Aa4212_1	62.5	1.795880017	53	1.72427587	55	1.740362689	96	1.982271233	482.3	2.683317262
Aa4212_2	62.5	1.795880017	44	1.643452676	30	1.477121255	45	1.653212514	372.9	2.571592383
Aa4212_3	59	1.770852012	53	1.72427587	40	1.602059991	49	1.69019608	115.4	2.062205809
Aa4212_4	62.5	1.795880017	35	1.544068044	65	1.812913357	133	2.123851641	484.2	2.685024785
Aa4212_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4212_6	59	1.770852012	35	1.544068044	50	1.698970004	35	1.544068044	100.5	2.002166062
Aa4212_7	62.5	1.795880017	33	1.51851394	42	1.62324929	44	1.643452676	146.9	2.167021796
Aa4212_8	66	1.819543936	43	1.633468456	32	1.505149978	45	1.653212514	149.6	2.174931594
Aa4213_1	80	1.903089987	22	1.342422681	45	1.653212514	13	1.113943352	33.6	1.526339277
Aa4213_2	69.5	1.841984805	35	1.544068044	50	1.698970004	32	1.505149978	100.3	2.001300933
Aa4213_3	100	2	35	1.544068044	45	1.653212514	37	1.568201724	147.8	2.169674434
Aa4213_4	100	2	30	1.477121255	57	1.755874856	60	1.77815125	171.4	2.234010818
Aa4213_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4213_6	100	2	27	1.431363764	65	1.812913357	48	1.681241237	199.7	2.300378065
Aa4213_7	100	2	37	1.568201724	60	1.77815125	63	1.799340549	215.1	2.33264041
Aa4213_8	100	2	31	1.491361694	70	1.84509804	55	1.740362689	195.2	2.290479813
Aa4216_1	69.5	1.841984805	29	1.462397998	20	1.301029996	5	0.698970004	10.1	1.004321374
Aa4216_2	59	1.770852012	43	1.633468456	20	1.301029996	5	0.698970004	14	1.146128036
Aa4216_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4216_4	59	1.770852012	51	1.707570176	75	1.875061263	23	1.361727836	124.3	2.094471129
Aa4216_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4216_6	45	1.653212514	33	1.51851394	30	1.477121255	11	1.041392685	37	1.568201724
Aa4216_7	62.5	1.795880017	33	1.51851394	20	1.301029996	12	1.079181246	23	1.361727836
Aa4216_8	100	2	20	1.301029996	15	1.176091259	1	0	1	0
Aa4217_1	66	1.819543936	55	1.740362689	60	1.77815125	26	1.414973348	372.5	2.571126277
Aa4217_2	55.5	1.744292983	50	1.698970004	65	1.812913357	26	1.414973348	108.8	2.036628895
Aa4217_3	73	1.86332286	46	1.662757832	40	1.602059991	47	1.672097858	200.8	2.302763708
Aa4217_4	80	1.903089987	41	1.612783857	20	1.301029996	24	1.380211242	68	1.832508913
Aa4217_5	73	1.86332286	54	1.73239376	55	1.740362689	38	1.579783597	332.2	2.521399628
Aa4217_6	66	1.819543936	62	1.792391689	95	1.977723605	27	1.431363764	589.2	2.770262738
Aa4217_7	59	1.770852012	62	1.792391689	75	1.875061263	68	1.832508913	550.51	2.740765212
Aa4217_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4219_1	80	1.903089987	25	1.397940009	20	1.301029996	40	1.602059991	116.3	2.065579715
Aa4219_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4219_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4219_4	100	2	23	1.361727836	10	1	11	1.041392685	11.9	1.075546961
Aa4219_5	100	2	34	1.531478917	10	1	14	1.146128036	26.5	1.423245874
Aa4219_6	80	1.903089987	23	1.361727836	23	1.361727836	34	1.531478917	49.8	1.697229343
Aa4219_7	80	1.903089987	32	1.505149978	30	1.477121255	11	1.041392685	37.7	1.57634135
Aa4219_8	69.5	1.841984805	28	1.447158031	20	1.301029996	6	0.77815125	13.7	1.136720567
Aa4283_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4283_2	69.5	1.841984805	31	1.491361694	55	1.740362689	24	1.380211242	165.2	2.218010043
Aa4283_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4283_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4283_5	59	1.770852012	53	1.72427587	95	1.977723605	32	1.505149978	223	2.348304863
Aa4283_7	73	1.86332286	32	1.505149978	30	1.477121255	4	0.602059991	10.6	1.025305865
Aa4283_8	62.5	1.795880017	31	1.491361694	25	1.397940009	4	0.602059991	15.6	1.193124598
Aa4292_1	55.5	1.744292983	34	1.531478917	30	1.477121255	8	0.903089987	20.3	1.307496038
Aa4292_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4292_3	45	1.653212514	35	1.544068044	30	1.477121255	37	1.568201724	40.3	1.605305046
Aa4292_4	45	1.653212514	38	1.579783597	50	1.698970004	22	1.342422681	56	1.748188027
Aa4292_5	38	1.579783597	45	1.653212514	35	1.544068044	41	1.612783857	100.6	2.002597981
Aa4292_6	62.5	1.795880017	50	1.698970004	35	1.544068044	7	0.84509804	28.3	1.451786436
Aa4292_7	45	1.653212514	30	1.477121255	25	1.397940009	12	1.079181246	11.6	1.064457989
Aa4292_8	66	1.819543936	21	1.322219295	15	1.176091259	3	0.477121255	2.5	0.397940009
Aa4298_1	66	1.819543936	60	1.77815125	60	1.77815125	58	1.763427994	307	2.487138375
Aa4298_2	66	1.819543936	45	1.653212514	10	1	1	0	5	0.698970004
Aa4298_3	59	1.770852012	60	1.77815125	75	1.875061263	62	1.792391689	372	2.57054294
Aa4298_4	69.5	1.841984805	52	1.716003344	55	1.740362689	23	1.361727836	113	2.053078443
Aa4298_5	52	1.716003344	50	1.698970004	50	1.698970004	15	1.176091259	80	1.903089987
Aa4298_6	59	1.770852012	60	1.77815125	80	1.903089987	23	1.361727836	216	2.334453751
Aa4298_7	59	1.770852012	50	1.698970004	70	1.84509804	24	1.380211242	146	2.164352856
Aa4298_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4301_1	100	2	12	1.079181246	10	1	9	0.954242509	137	2.136720567
Aa4301_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4301_3	100	2	13	1.113943352	12	1.079181246	8	0.903089987	30.2	1.480006943
Aa4301_4	100	2	15	1.176091259	20	1.301029996	12	1.079181246	48.6	1.686636269
Aa4301_5	100	2	40	1.602059991	17	1.230448921	16	1.204119983	77	1.886490725
Aa4301_6	100	2	10	1	10	1	4	0.602059991	4	0.602059991
Aa4301_7	100	2	5	0.698970004	10	1	1	0	8	0.903089987
Aa4301_8	100	2	7	0.84509804	12	1.079181246	8	0.903089987	22	1.342422681
Aa4304_1	45	1.653212514	18	1.255272505	23	1.361727836	1	0	1	0
Aa4304_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4304_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4304_4	45	1.653212514	23	1.361727836	18	1.255272505	2	0.301029996	3.1	0.491361694
Aa4304_5	45	1.653212514	21	1.322219295	30	1.477121255	4	0.602059991	9.1	0.959041392
Aa4304_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4304_7	45	1.653212514	18	1.255272505	15	1.176091259	3	0.477121255	9.2	0.963787827
Aa4304_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4355_1	62.5	1.795880017	31	1.491361694	79	1.897627091	18	1.255272505	50.2	1.700703717
Aa4355_2	76.5	1.883661435	33	1.51851394	10	1	2	0.301029996	1.7	0.230448921
Aa4355_3	100	2	16	1.204119983	60	1.77815125	25	1.397940009	105.7	2.024074987
Aa4355_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4355_5	62.5	1.795880017	42	1.62324929	30	1.477121255	7	0.84509804	33.2	1.521138084
Aa4355_6	62.5	1.795880017	32	1.505149978	50	1.698970004	82	1.913813852	158.7	2.200576927
Aa4355_7	62.5	1.795880017	26	1.414973348	40	1.602059991	7	0.84509804	29.5	1.469822016
Aa4355_8	76.5	1.883661435	37	1.568201724	30	1.477121255	4	0.602059991	8.9	0.949390007
Aa4358_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4358_2	66	1.819543936	27	1.431363764	23	1.361727836	11	1.041392685	21.5	1.33243846
Aa4358_3	66	1.819543936	35	1.544068044	50	1.698970004	16	1.204119983	38	1.579783597
Aa4358_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4358_5	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4358_6	66	1.819543936	45	1.653212514	80	1.903089987	18	1.255272505	73.3	1.865103975
Aa4358_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4358_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4369_1	69.5	1.841984805	48	1.681241237	30	1.477121255	28	1.447158031	312.1	2.494293769
Aa4369_2	66	1.819543936	42	1.62324929	27	1.431363764	42	1.62324929	226.3	2.354684554
Aa4369_3	69.5	1.841984805	41	1.612783857	35	1.544068044	19	1.278753601	134.5	2.128722284
Aa4369_4	69.5	1.841984805	53	1.72427587	70	1.84509804	45	1.653212514	544.5	2.735997884
Aa4369_6	69.5	1.841984805	42	1.62324929	45	1.653212514	31	1.491361694	245.3	2.389697548
Aa4369_7	66	1.819543936	47	1.672097858	30	1.477121255	30	1.477121255	292.3	2.465828815
Aa4369_8	62.5	1.795880017	45	1.653212514	30	1.477121255	60	1.77815125	223.7	2.349665984
Aa4370_1	69.5	1.841984805	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4370_2	80	1.903089987	23	1.361727836	20	1.301029996	3	0.477121255	7.6	0.880813592
Aa4370_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4370_4	66	1.819543936	33	1.51851394	72	1.857332496	23	1.361727836	123.8	2.092720645
Aa4370_5	59	1.770852012	33	1.51851394	30	1.477121255	25	1.397940009	113.7	2.055760465
Aa4370_6	59	1.770852012	38	1.579783597	80	1.903089987	27	1.431363764	278	2.444044796
Aa4370_7	48.5	1.685741739	40	1.602059991	50	1.698970004	13	1.113943352	135.3	2.131297797
Aa4370_8	66	1.819543936	50	1.698970004	78	1.892094603	35	1.544068044	306.7	2.486713776
Aa4374_1	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_2	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_3	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_4	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_5	100	2	10	1	10	1	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_6	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_7	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4374_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4379_1	100	2	40	1.602059991	15	1.176091259	44	1.643452676	714.6	2.854063012
Aa4379_10	100	2	55	1.740362689	17	1.230448921	47	1.672097858	932.4	2.969602265
Aa4379_11	100	2	65	1.812913357	20	1.301029996	54	1.73239376	977	2.989894564
Aa4379_12	100	2	65	1.812913357	20	1.301029996	73	1.86332286	304.2541616	2.107640136
Aa4379_13	100	2	40	1.602059991	15	1.176091259	20	1.301029996	476.3	2.677880582
Aa4379_14	100	2	70	1.84509804	20	1.301029996	101	2.004321374	1492.8	3.174001626
Aa4379_15	100	2	70	1.84509804	20	1.301029996	102	2.008600172	1932.9	3.286209386
Aa4379_16	100	2	60	1.77815125	20	1.301029996	44	1.643452676	828.8	2.918449742
Aa4379_2	100	2	60	1.77815125	20	1.301029996	71	1.851258349	1292.1	3.111296126
Aa4379_3	100	2	45	1.653212514	25	1.397940009	49	1.69019608	626.9	2.79719827
Aa4379_4	100	2	60	1.77815125	12	1.079181246	61	1.785329835	1127.4	3.05207803
Aa4379_5	100	2	73	1.86332286	12	1.079181246	46	1.662757832	810.1	2.908538632
Aa4379_6	100	2	73	1.86332286	15	1.176091259	46	1.662757832	1397.2	3.145258577
Aa4379_7	100	2	45	1.653212514	13	1.113943352	27	1.431363764	285.6	2.455758203
Aa4379_8	100	2	76	1.880813592	20	1.301029996	51	1.707570176	856.1	2.932524497
