name	weight	ranking	foldChange	higherIn	case1	case2	case3	control1	control2	control3
CEL	0.964015937706506	30	-0.634742388	control	0.416934755	0.081252775	0.092396595	0.983921784	0.599459321	0.03351641
UBE3C	0.960137140827273	31	0.122002678	case	0.299400387	0.832513317	0.666457012	0.45991458	0.581743425	0.561164119
SLCO2B1	0.960015357080117	32	0.384118029	case	0.292831556	0.984448405	0.51699094	0.526489633	0.358544689	0.411293638
INPP1	0.958604467785189	33	-0.111191258	control	0.801172362	0.719801555	0.21423751	0.899534077	0.220450354	0.832304454
PTN	0.958330989384955	34	-0.418587883	control	0.244095916	0.654688314	0.111617713	0.527901301	0.338257943	0.871681976
BRD2	0.95819839711472	35	-0.47288099	control	0.189471482	0.133431768	0.839349278	0.607439951	0.609187005	0.988287882
SLC39A9	0.958075003433249	36	0.830328641	case	0.440186914	0.790235137	0.951807457	0.124877199	0.603016552	0.464367277
LHX2	0.955603653434116	37	-0.125223	control	0.131830665	0.412804402	0.656487935	0.208245205	0.804330532	0.3604862
MOSPD1	0.952686925216141	38	1.473170585	case	0.911889813	0.354622855	0.74438131	0.295395849	0.493802089	0.023885473
SNAP23	0.949908846358517	39	-0.240401763	control	0.663968254	0.174117873	0.387064314	0.567350499	0.590942359	0.45459983
GCK	0.949822083180672	40	-0.111376129	control	0.190902853	0.702764803	0.979789872	0.546692028	0.566252528	0.995323733
TNFRSF14	0.949081000950822	41	0.378157424	case	0.795954986	0.380847529	0.320947861	0.327391879	0.372435452	0.386950094
SBDS	0.947949684175439	42	-0.112333817	control	0.826306721	0.680236386	0.575685981	0.473948625	0.913675142	0.958110619
VPS13D	0.946069323977357	43	-0.486884623	control	0.571413072	0.025692285	0.088678935	0.235056835	0.633021631	0.468432429
CCDC59	0.944118569767781	44	-0.176154615	control	0.406279942	0.688401498	0.007662446	0.289539819	0.25071904	0.797788189
RRS1	0.941816575794057	45	1.647794967	case	0.815987253	0.256528012	0.829788035	0.291102937	0.184014864	0.243330313
COLQ	0.939838254337713	46	0.846796657	case	0.70004267	0.284458991	0.377492173	0.05681496	0.028178083	0.65249683
EIF2AK4	0.937822118715544	47	-0.480548177	control	0.382868448	0.281660343	0.328535803	0.943594399	0.014894876	0.953265677
ANP32B	0.937290380549169	48	0.484003401	case	0.573463589	0.876184336	0.376409545	0.359909561	0.036474857	0.834109709
TRMT11	0.937265264691391	49	-0.447334958	control	0.008915056	0.883788809	0.111359443	0.519724684	0.303279447	0.993762321
SKAP1	0.936352471950852	50	-0.300902504	control	0.260623679	0.436932781	0.453251351	0.565236934	0.142650347	0.938246225
S100A11	0.935987282396234	51	0.80952728	case	0.679219655	0.324562013	0.943608937	0.037201533	0.365729487	0.673256461
MYH3	0.934828315776462	52	-0.116727942	control	0.527024953	0.36046762	0.182192247	0.25109544	0.564816499	0.395136017
MACROD1	0.93243288261142	53	-0.132909161	control	0.653456824	0.51786091	0.249668755	0.537812527	0.237341729	0.863643463
SLC35G2	0.93192001313755	54	0.827591881	case	0.985246312	0.695306809	0.894560445	0.250329527	0.691018831	0.467671672
DNAJB11	0.930512342342939	55	0.119809394	case	0.447007309	0.506833377	0.782728943	0.591068175	0.303756169	0.65594817
SRSF3	0.928052430831459	56	0.59076821	case	0.029332343	0.73210385	0.817570881	0.00885503	0.935324883	0.048426718
NR1H2	0.927245445494015	57	-0.788269082	control	0.085552232	0.14276583	0.048784504	0.316477787	0.160421045	0.831849881
ZNF286A	0.927185202538995	58	0.810785392	case	0.226534463	0.644205404	0.879986192	0.322652371	0.095259283	0.548920786
TRIM25	0.924859012550818	59	-0.208973059	control	0.489655345	0.245666639	0.480896842	0.1340606	0.477403479	0.926054761
MRPL16	0.922773421317134	60	0.554872449	case	0.898798556	0.009977395	0.274598435	0.215084888	0.252214195	0.293775812
CA2	0.92269275683973	61	-0.58292681	control	0.013655567	0.021929823	0.468952105	0.040278077	0.746948593	0.422483055
CPA2	0.92016610016362	62	1.227857408	case	0.899776019	0.709638702	0.883688711	0.128169077	0.42809612	0.5627936
ADARB1	0.919893830864455	63	0.080354482	case	0.073841877	0.926859573	0.365383979	0.289760756	0.444544929	0.530173198
FTSJ1	0.91833899065768	64	-0.099218779	control	0.290462492	0.548009157	0.485230457	0.182716251	0.709240954	0.577547349
GLUL	0.915525126570028	65	-0.332931479	control	0.398005186	0.067947302	0.798170184	0.779476507	0.245872172	0.869693033
CUTA	0.914466037759236	66	0.974755552	case	0.790045357	0.625636395	0.381489065	0.218043375	0.231886625	0.460142548
CDK9	0.913014498645068	67	-0.216457785	control	0.700850073	0.511064089	0.651069369	0.606179876	0.79479241	0.976670545
PEG10	0.912260083517071	68	-0.238389432	control	0.429302485	0.261176171	0.602772899	0.927983722	0.450492337	0.319572274
POLR2C	0.912172343754512	69	0.381950789	case	0.699246076	0.424475931	0.165470595	0.200232504	0.055550474	0.677095829
TSC22D1	0.911900091597237	70	0.20939485	case	0.627005316	0.709638858	0.346140202	0.029155582	0.779889004	0.582382189
GGA3	0.911801131562645	71	0.462059055	case	0.74848991	0.650474093	0.280684818	0.857368192	0.241103511	0.050352494
FGD6	0.908832329658068	72	0.039708563	case	0.890036233	0.711763763	0.460547461	0.784979891	0.81294397	0.385658395
KIAA1522	0.908679436157011	73	-0.308085522	control	0.843999511	0.290860331	0.509885655	0.798058063	0.971925138	0.607110428
CD37	0.908248818284871	74	-0.087456899	control	0.848596675	0.798141714	0.796106236	0.943729958	0.896256192	0.836977407
SARS	0.906653800098843	75	1.508768581	case	0.776992906	0.954847311	0.406015403	0.059038808	0.365938839	0.42717573
HCN1	0.905671652617877	76	-0.321216933	control	0.162939571	0.845350562	0.086481697	0.959986228	0.190658434	0.462200272
GTF3A	0.904422585429451	77	0.672904443	case	0.294302627	0.984532355	0.493299256	0.119863491	0.70190108	0.237551306
PAPOLA	0.903273904045203	78	0.198425521	case	0.875032726	0.528610767	0.544833398	0.931763908	0.429081791	0.265018285
ERCC3	0.901622188806186	79	-0.09021104	control	0.277611122	0.206431022	0.983036222	0.510082855	0.885117154	0.217347989
E2F1	0.900460695951332	80	0.319672069	case	0.593420568	0.084626639	0.726425979	0.615034264	0.274099066	0.175125905
TOM1L2	0.899757533231989	81	0.018147119	case	0.089611935	0.430300901	0.75233406	0.28869205	0.333977931	0.626900805
PCDHGC5	0.898888853484247	82	0.69214491	case	0.877763925	0.924772431	0.680290712	0.544750963	0.227808607	0.694706652
CHRM4	0.896488227238531	83	-0.606778962	control	0.139689279	0.138216343	0.536424609	0.70702825	0.766645688	0.597248395
GPR107	0.895907539440173	84	0.726233765	case	0.581491252	0.662932909	0.915925025	0.188271776	0.226538649	0.836670823
ATM	0.894647612386255	85	0.789723729	case	0.250305886	0.941230938	0.953539973	0.359743894	0.326902008	0.51190601
STAP2	0.893940761512517	86	0.048345834	case	0.913182346	0.944331283	0.249619835	0.779817267	0.70833923	0.521803761
AMZ2	0.893455595941863	87	-0.401056576	control	0.065239805	0.22218793	0.515004613	0.074679927	0.6156944	0.64937216
KIAA1671	0.88950847377688	88	0.205750072	case	0.931616137	0.746182238	0.173771583	0.541299839	0.768655179	0.225661691
ECT2	0.889264629794461	89	-0.182837413	control	0.833348647	0.169839251	0.880581461	0.998163526	0.496963455	0.81012951
APRT	0.888780732453205	90	0.202239634	case	0.217865124	0.175436146	0.945372958	0.081320503	0.041851866	0.990311323
PIN1	0.881132801236475	91	-0.079290922	control	0.004335073	0.063738697	0.976793358	0.234739809	0.669963217	0.230147442
ST8SIA3	0.880605659457452	92	0.400866685	case	0.472321065	0.196276913	0.909395615	0.309563093	0.032750826	0.784127027
ZNF428	0.88055950957798	93	-0.034744143	control	0.221694547	0.895118155	0.490670966	0.794076816	0.676117733	0.195150091
PCDHB12	0.879659663407538	94	0.691616771	case	0.760343346	0.720262362	0.659547888	0.349048329	0.225202909	0.690901504
SORL1	0.878455437823958	95	-0.417648665	control	0.455843702	0.057852903	0.70537928	0.80456731	0.492786527	0.796014569
ARID4A	0.877440097783825	96	0.27321218	case	0.74322057	0.966471987	0.945946287	0.624015546	0.792784736	0.668978417
CCS	0.87648395531354	97	6.142347245	case	0.629907945	0.639570218	0.545284934	0.018502935	0.102537453	0.133044583
OAS1	0.874429094310285	98	0.237453552	case	0.492638598	0.813779583	0.124143787	0.580006431	0.056095743	0.519950889
PRKAG3	0.87293878729415	99	-0.236613171	control	0.383913513	0.522314782	0.040491616	0.855835901	0.259444567	0.124877044
CEPT1	0.870816363254405	100	0.02955099	case	0.276345316	0.132038817	0.671022018	0.285495501	0.300956435	0.461972243
VAPA	0.870621818612893	101	0.267896885	case	0.109632606	0.861334748	0.884452237	0.750876452	0.053194939	0.659312275
NDUFC1	0.869881663339071	102	0.865321992	case	0.95475487	0.076272889	0.320277088	0.185885032	0.221452791	0.317097344
E2F3	0.86815118402594	103	-0.223205155	control	0.926169083	0.197910058	0.012755669	0.054381617	0.781755812	0.627356847
TMF1	0.867691456244425	104	0.008273878	case	0.894500664	0.958059481	0.290244209	0.703651642	0.663318498	0.758250399
EML4	0.866496585605024	105	0.357349969	case	0.496537318	0.691436563	0.969483565	0.23403657	0.787740194	0.567686157
CACNA1C	0.86549064981276	106	-0.057864422	control	0.341064969	0.169241815	0.498673989	0.821790139	0.049520296	0.199640281
SLC4A1	0.864807861773361	107	0.417577715	case	0.88006626	0.873536456	0.575726948	0.817677027	0.24488053	0.580618433
EIF2AK2	0.861417656196086	108	-0.15302614	control	0.885220041	0.38256946	0.007355693	0.718280464	0.429676951	0.357573339
AKR1E2	0.861088354928281	109	0.615709938	case	0.936120178	0.288565309	0.469758776	0.646501755	0.087771761	0.314456966
NCK1	0.858085916286096	110	0.351810032	case	0.887030732	0.858553617	0.659496248	0.416421383	0.817516083	0.545218288
PARP10	0.857083631354171	111	-0.16178478	control	0.437973178	0.475879024	0.320322632	0.638600595	0.246642124	0.587141467
ARPC5L	0.856217447370269	112	-0.134132342	control	0.541353933	0.258446308	0.738608517	0.565679763	0.680883748	0.530161539
TAS2R4	0.856053421517863	113	0.03463026	case	0.230299164	0.708704617	0.841776582	0.557503053	0.217689899	0.945982651
GLA	0.855088619240342	114	1.251653214	case	0.786200627	0.810920786	0.253716352	0.165706297	0.368079409	0.288204889
CCDC14	0.852827587736811	115	0.455174809	case	0.381610876	0.582781197	0.418872148	0.012682301	0.895733134	0.042167417
SEC14L3	0.852528590674442	116	0.449707928	case	0.753200533	0.123793528	0.602871561	0.025673208	0.990832978	0.004296413
XBP1	0.852016973881539	117	-0.062445583	control	0.683307915	0.496720678	0.358968819	0.204952274	0.586139829	0.850409858
POMC	0.85090800856685	118	0.20354604	case	0.041921005	0.973930177	0.051826709	0.379423157	0.373077718	0.13460926
SOS1	0.850536754283391	119	-0.456016468	control	0.702520272	0.38056017	0.133474991	0.944256971	0.604106286	0.688019577
TCEAL8	0.850323862718259	120	-0.156041057	control	0.567684998	0.586177665	0.127122507	0.229022947	0.887766868	0.401038961
CCKBR	0.849972299911911	121	-0.521883059	control	0.017920369	0.33853465	0.586464081	0.96313441	0.512806645	0.496210565
GPX1	0.849693844920558	122	0.899431647	case	0.335911171	0.999773123	0.679408746	0.293705994	0.101550724	0.665635914
OTP	0.84739945723103	123	-0.280099406	control	0.63789762	0.530490291	0.446774128	0.796169118	0.777462423	0.669958828
NSUN5	0.846529403285658	124	0.021921086	case	0.348574977	0.914135168	0.90112395	0.399692413	0.925658579	0.792067001
FBXO25	0.844342381495237	125	-0.467151136	control	0.379838917	0.454424561	0.416218137	0.895860047	0.461523347	0.989401409
NUAK2	0.842396744786328	126	7.920951717	case	0.32147307	0.743674955	0.797884972	0.06140851	0.03120896	0.11622045
MLST8	0.839009167320221	127	-0.349390134	control	0.000999418	0.180591373	0.841729745	0.756727389	0.759439458	0.05669669
C5orf28	0.838947784834775	128	1.495800571	case	0.424084819	0.048602298	0.959111853	0.303643571	0.1584493	0.111590373
CA9	0.838402608756176	129	-0.486097045	control	0.411421827	0.236129166	0.011427529	0.207844759	0.272724664	0.801732063
MT1X	0.837900449095441	130	-0.527361165	control	0.650507635	0.178827792	0.010162603	0.006902548	0.815233277	0.954057682
POLH	0.836319659472614	131	0.724192902	case	0.052485543	0.55706683	0.900974956	0.231579838	0.48990424	0.15459384
SLC38A10	0.836229736161115	132	-0.049605571	control	0.726741469	0.053000053	0.816695273	0.420428701	0.984862842	0.274470823
GSTT1	0.836172920709126	133	1.32482946	case	0.069278973	0.75287412	0.710455693	0.10687278	0.334042555	0.218319595
POLG	0.833971738754734	134	-0.276175323	control	0.226639718	0.111922644	0.781430327	0.157864376	0.680427967	0.709033584
PCDHA11	0.833779609211363	135	-0.756725783	control	0.333372687	0.121353655	0.011341141	0.901802906	0.843615848	0.170392501
IFRD2	0.832912384105407	136	1.181318632	case	0.740526589	0.926532589	0.228683117	0.205237662	0.100866144	0.562977065
DAZAP2	0.832200690295632	137	0.969749212	case	0.593827605	0.660836094	0.478458647	0.021871876	0.719250285	0.138747386
DDX58	0.831110154723853	138	-0.468469943	control	0.083986296	0.660719557	0.092229496	0.757311084	0.62598512	0.19128145
CDK15	0.829176120704962	139	0.40020296	case	0.972305556	0.032632572	0.193211039	0.267362081	0.534641254	0.053693447
PIK3R1	0.827703375396012	140	-0.744593402	control	0.24894947	0.038001535	0.112451379	0.437276253	0.597940369	0.528573773
VAV2	0.826875222837622	141	-0.379541877	control	0.297354293	0.060950222	0.962958775	0.83666494	0.626954164	0.665877219
ARL15	0.826491606032295	142	0.456256071	case	0.509953037	0.881899201	0.475558224	0.668487146	0.471602958	0.142246498
AK4	0.82592797647296	143	0.197410627	case	0.977255648	0.213021767	0.73186506	0.493079306	0.448443245	0.663726669
CCDC148	0.823201061074928	144	0.772799986	case	0.343005812	0.472229859	0.753524141	0.076204434	0.562665502	0.246035201
UPF2	0.822277174423012	145	-0.363297277	control	0.244172894	0.400882866	0.411028487	0.875015351	0.602589739	0.181072044
ILVBL	0.820802024303507	146	-0.384338731	control	0.197278942	0.579593463	0.179104121	0.870961448	0.064002257	0.617800086
AOC2	0.819740403776599	147	-0.118449501	control	0.671163972	0.226653137	0.30006344	0.638782129	0.132983376	0.587068221
BCO1	0.818878552761969	148	2.129931781	case	0.431462054	0.87321934	0.745233681	0.119912755	0.128609574	0.40641689
PLEKHA1	0.816245277273153	149	1.072107441	case	0.260511507	0.533958179	0.674557426	0.393098593	0.01699913	0.298855434
AKAP5	0.81458040564826	150	1.043288412	case	0.829914141	0.442934666	0.186612025	0.485904908	0.039761623	0.188604066
AGO3	0.813524280935686	151	0.580959996	case	0.339986206	0.520850475	0.965005306	0.15546129	0.36687594	0.632557259
PSMG1	0.811281073479239	152	0.939246767	case	0.742469757	0.59704523	0.977769158	0.972604932	0.099017233	0.123318151
HSD3B1	0.809379944787499	153	0.226742919	case	0.97965744	0.668895693	0.728763483	0.545434258	0.90492217	0.487552957
RAX2	0.809012249269781	154	-0.676689526	control	0.084970746	0.219900779	0.325285489	0.635454325	0.724520307	0.58910238
PTBP3	0.806237085379592	155	-0.83020947	control	0.129519861	0.10240779	0.077390047	0.438823922	0.681255935	0.701680741
MTHFD2	0.806140569013718	156	-0.306001339	control	0.815435156	0.60880836	0.070755244	0.747817091	0.624682173	0.781681778
NOC4L	0.80308400320993	157	-0.618528245	control	0.19873675	0.442739978	0.25638516	0.54258242	0.839034992	0.972061138
S1PR1	0.802128402172876	158	-0.609881816	control	0.495644219	0.274479408	0.206806527	0.944361262	0.65434166	0.905487329
TPH1	0.798575636163701	159	-0.128926032	control	0.872235504	0.027750088	0.13360391	0.766029364	0.038690786	0.381849006
KRT31	0.797794327789756	160	0.128290759	case	0.546479648	0.165392247	0.685944708	0.385728464	0.22307429	0.630077022
KDELC1	0.796666886923888	161	0.152680575	case	0.446800863	0.887883023	0.194893367	0.018602642	0.603074701	0.705296744
GADD45A	0.796098974386462	162	0.000199189	case	0.358128353	0.747669976	0.166906592	0.236063924	0.864951643	0.171435896
DCP2	0.7942843836536	163	-0.438208114	control	0.890123478	0.053575171	0.15295279	0.636006152	0.630904757	0.685149038
C16orf89	0.792562519354107	164	0.512145441	case	0.973013624	0.329779668	0.815242445	0.280397006	0.660605167	0.45968038
MT-ND6	0.792456860497627	165	0.937703617	case	0.895954628	0.677724911	0.839141805	0.444338165	0.528314694	0.272543425
GALK1	0.79117052588079	166	0.33564235	case	0.827209085	0.0478438	0.488857264	0.532130561	0.202674299	0.286359338
COX5A	0.789203213435278	167	-0.334977033	control	0.183528196	0.283939012	0.718067857	0.886122876	0.014033814	0.882541235
PCDHA4	0.788561803113904	168	-0.42796301	control	0.091558143	0.811020216	0.194441094	0.365236483	0.802415694	0.750089983
ARF6	0.786063353505465	169	-0.307276834	control	0.420400431	0.150096723	0.929952044	0.648005695	0.779297317	0.738712608
MAFB	0.781576747911696	170	-0.578699051	control	0.024027325	0.908439456	0.107758579	0.993037174	0.81052669	0.665515219
LRPAP1	0.780453305213959	171	-0.420055008	control	0.379605286	0.427062348	0.168879971	0.232254753	0.770761745	0.679121666
MSI2	0.779639443833603	172	-0.248870837	control	0.314061929	0.708588152	0.346001203	0.663340614	0.284804955	0.873979507
ACER2	0.777836973559024	173	0.007112957	case	0.379369835	0.658774142	0.781392022	0.949123026	0.150577896	0.706984203
PAXBP1	0.777462074482948	174	-0.319366227	control	0.307986028	0.248798898	0.92004279	0.557864961	0.951096663	0.660821562
TNNI2	0.776487807153511	175	-0.466764604	control	0.090166002	0.70057951	0.293294643	0.490578622	0.982062563	0.560307422
ATF7	0.775547260141591	176	-0.253246617	control	0.544521938	0.531242869	0.626464501	0.599817138	0.962433769	0.71725575
SUPT5H	0.775433796692887	177	1.888998767	case	0.937676879	0.816235285	0.495432409	0.324196463	0.00132078	0.453072418
C22orf46	0.775405135198076	178	0.697485293	case	0.680899556	0.924548308	0.684793764	0.414348153	0.659647529	0.27520106
DR1	0.775228089906687	179	0.318649008	case	0.402554392	0.566860832	0.838226077	0.101214538	0.64134136	0.628272343
NQO1	0.77214283878312	180	0.33451967	case	0.800522766	0.513363986	0.498622513	0.86313476	0.058026176	0.437012573
C11orf87	0.771914476030847	181	1.117607671	case	0.805404317	0.777232429	0.262457465	0.288238633	0.366939952	0.21613211
PDXDC1	0.770644011008085	182	-0.11370213	control	0.602950181	0.493893039	0.234785525	0.602071312	0.691103543	0.209287003
PREPL	0.770586055243288	183	-0.239553068	control	0.068798171	0.861008253	0.013004124	0.517098497	0.460380827	0.262331778
RABEP1	0.769975273230104	184	-0.07313818	control	0.615288242	0.51208665	0.841244015	0.930598963	0.538154422	0.655208209
HTR2A	0.769927078227743	185	-0.232889143	control	0.248770663	0.169484429	0.938169404	0.736009366	0.721280345	0.31093516
MED17	0.768551517768436	186	-0.213798441	control	0.421005781	0.635186379	0.600481204	0.91414233	0.375497532	0.817546705
CUX1	0.768434032614168	187	-0.066742263	control	0.90466648	0.241872295	0.051588205	0.503453396	0.578267561	0.202090504
ATP2A3	0.767987004548132	188	0.337458201	case	0.733742133	0.72416617	0.89517078	0.36171638	0.725205116	0.672444952
ZNF280C	0.767616586603275	189	0.078689085	case	0.650459322	0.858311678	0.798920121	0.765467158	0.595334514	0.778546128
LY96	0.766768060920667	190	-0.38842052	control	0.69656869	0.207911996	0.324165239	0.335478586	0.934657552	0.738835656
CP	0.766494844432297	191	1.530302417	case	0.022413654	0.997136895	0.153662767	0.047534194	0.181705195	0.234425867
PIAS3	0.764920733957713	192	0.203675212	case	0.98918581	0.861989835	0.114668433	0.80366808	0.199852291	0.629681059
UBR7	0.762140898634666	193	0.28501521	case	0.834270164	0.658116181	0.670457661	0.812815651	0.580469556	0.289841958
S1PR4	0.761633821857509	194	-0.148214677	control	0.75453664	0.27821104	0.283847869	0.539999264	0.965444767	0.040245374
NUP98	0.758804444178936	195	-0.394202687	control	0.627904178	0.093624528	0.060705104	0.401506429	0.811105644	0.078634675
HSPD1	0.757179557379411	196	0.358189979	case	0.467517019	0.700225074	0.680193964	0.081689714	0.502498346	0.776399255
ZNF362	0.756954049487111	197	-0.299255442	control	0.187382889	0.43794656	0.10841109	0.634197879	0.213266303	0.199622849
CDKN1A	0.756141926441929	198	0.147702964	case	0.975853971	0.805320486	0.650986797	0.205008252	0.952928415	0.961219012
RAD23A	0.755700280867838	199	0.442823821	case	0.565910591	0.878872885	0.61678724	0.665105984	0.449299624	0.314438776
GEMIN6	0.755167140259959	200	-0.175765838	control	0.431218447	0.539996087	0.680818923	0.775625723	0.376714427	0.851985239
TDRD7	0.754936468225829	201	1.590747571	case	0.428960354	0.994990262	0.969091958	0.067413476	0.184258997	0.672015578
MAN2A2	0.754902740907117	202	0.155466709	case	0.253064288	0.522927762	0.246471604	0.359291135	0.370394379	0.155206838
COL5A3	0.754510784702296	203	0.154626105	case	0.650812136	0.568353919	0.688663539	0.408579772	0.639853182	0.603902452
PDLIM1	0.75433338439618	204	-0.231066809	control	0.092398458	0.068027694	0.987454807	0.608885539	0.718379028	0.165558181
APOA2	0.754127262526012	205	0.098191489	case	0.889635303	0.383229532	0.383247921	0.562660357	0.515163184	0.430212874
GCLC	0.750146571002327	206	-0.029392397	control	0.832754246	0.823816567	0.462781888	0.474654623	0.743685672	0.965191643
FANCA	0.749754307661468	207	-0.041759506	control	0.92767272	0.398895558	0.164870242	0.346977441	0.586296073	0.62316094
BCHE	0.747710039127429	208	0.369888178	case	0.658856481	0.13194748	0.66582716	0.276632058	0.59944172	0.187247407
NMRK1	0.744515378801041	209	0.29650687	case	0.679904686	0.411308103	0.792190264	0.171418738	0.905157018	0.376099196
TRIB2	0.743033643725929	210	0.951183008	case	0.962113796	0.594194175	0.922707907	0.282887905	0.526180895	0.461450606
SLC1A1	0.742119399006556	211	0.01956183	case	0.523592045	0.158824299	0.86570321	0.598562764	0.321930893	0.59792289
GPX6	0.741608560642791	212	-0.668236204	control	0.148465023	0.006107803	0.225360246	0.132853968	0.249969169	0.76236834
MED20	0.741559542612891	213	-0.612175922	control	0.240423554	0.570836634	0.014096004	0.399618961	0.797923827	0.930628822
GAS2L3	0.739529750330297	214	0.062315084	case	0.402351617	0.753791773	0.208522374	0.501867087	0.490445657	0.292302136
DEGS2	0.738767713808585	215	1.001447705	case	0.513814835	0.851805952	0.480804052	0.348624438	0.492532786	0.081387409
PLAU	0.738754794315637	216	0.047173256	case	0.905158338	0.505086084	0.028902066	0.57772329	0.282511266	0.514080994
TSPYL1	0.738684886893027	217	-0.244786207	control	0.145732099	0.506747151	0.250153014	0.357388193	0.754112681	0.083700105
POLD2	0.736771212947088	218	0.651962583	case	0.873512176	0.729180222	0.258163023	0.431593647	0.414998272	0.279859395
ING2	0.736624715037985	219	0.500906086	case	0.694350561	0.830886485	0.375758171	0.13458515	0.927494092	0.204485824
PLCB1	0.733736908889774	220	-0.486956496	control	0.544417699	0.243504368	0.244864622	0.954676585	0.179877258	0.878504858
DHODH	0.73147071548382	221	0.36988301	case	0.456525127	0.593560772	0.822401808	0.723618278	0.412395	0.230882795
CEP89	0.731391705452838	222	2.674670868	case	0.697649568	0.763495679	0.532783438	0.133172785	0.094686357	0.314755083
UBL4A	0.726421985150142	223	0.124615949	case	0.572971367	0.450963489	0.356256342	0.850706461	0.074844308	0.301704812
NRTN	0.725694886449768	224	-0.417264094	control	0.229602532	0.897646542	0.104252998	0.189862478	0.927064141	0.996384162
ATIC	0.725059755063973	225	10.55971295	case	0.652420835	0.703004391	0.073390947	0.034217413	0.070307241	0.01907843
NEDD4L	0.723680484135885	226	0.172156904	case	0.506794524	0.1439508	0.442496953	0.247886008	0.38371518	0.301074526
HLA-DPA1	0.723363696905421	227	0.289324497	case	0.972852237	0.297508174	0.880839127	0.540947224	0.936419265	0.191103739
SLC43A3	0.723048334319942	228	-0.388392195	control	0.014093075	0.980997114	0.367823668	0.86107163	0.498388955	0.868950901
PPOX	0.721787369280583	229	0.081564827	case	0.389587009	0.653920421	0.841844173	0.919324154	0.503910776	0.319935296
ZNF229	0.71899060326803	230	0.391983398	case	0.443066089	0.701328059	0.881681142	0.317103941	0.843061196	0.29536608
RSBN1L	0.71855755485241	231	0.075741968	case	0.528922466	0.431433376	0.67623009	0.134052058	0.694536761	0.692766656
