"ID"	"Description"	"GeneRatio"	"BgRatio"	"pValue"	"pAdjust"	"qValue"	"geneID"	"Count"	"subontology"
"GO:0009119"	"ribonucleoside metabolic process"	"32/756"	"347/16655"	0.000117986585235131	0.0294835366882012	0.0275785018236737	"AHCYL2/AK4/AMD1/AMPD3/APOBEC3C/APRT/ATP5G3/COX5A/DDIT4/DHODH/DLD/DLG4/ENTPD4/FBP1/GCK/GMPR2/HK2/HTR2A/IMPDH1/MPP3/MYH3/NDUFC1/NDUFS2/NDUFS4/NDUFS8/NME6/PAPSS1/PDE6B/PFKM/PGAM2/PPIF/TEFM"	32	"BP"
"GO:0019080"	"viral gene expression"	"22/756"	"203/16655"	0.000141965715901627	0.032280093334879	0.030194363122677	"CDK9/EIF2AK4/ERCC2/ERCC3/GTF2F2/GTF2H1/NUP98/POLR2C/POLR2L/RPL23A/RPL24/RPL30/RPL36A/RPL37A/RPS14/RPS26/SMARCA4/SUPT5H/TRIM14/TRIM21/TRIM8/UBB"	22	"BP"
"GO:0060333"	"interferon-gamma-mediated signaling pathway"	"13/756"	"87/16655"	0.000143530872987456	0.032280093334879	0.030194363122677	"CD44/CIITA/DNAJA3/HLA-B/HLA-C/HLA-DPA1/NR1H2/OAS1/PTAFR/PTPN6/TRIM21/TRIM25/TRIM8"	13	"BP"
"GO:0046782"	"regulation of viral transcription"	"12/756"	"79/16655"	0.000218882939562165	0.0448925228496459	0.0419918592661147	"CDK9/ERCC2/ERCC3/GTF2F2/GTF2H1/POLR2C/POLR2L/SMARCA4/SUPT5H/TRIM14/TRIM21/TRIM8"	12	"BP"
"GO:0043900"	"regulation of multi-organism process"	"40/756"	"487/16655"	0.000219572143773279	0.0448925228496459	0.0419918592661147	"ADARB1/ANKRD17/AP2B1/AP2S1/APOBEC3C/CD37/CD93/CDK9/DDX58/DDX60/EIF2AK2/EIF2AK4/ERCC2/ERCC3/GTF2F2/GTF2H1/HIST1H3F/HPGDS/HTRA1/LY96/NODAL/OAS1/PARP10/PEX3/PLAU/PLCB1/POLR2C/POLR2L/PTAFR/RAD23A/RSAD2/SMARCA4/SUPT5H/TNIK/TRIM14/TRIM15/TRIM21/TRIM25/TRIM8/VAPA"	40	"BP"
"GO:0043903"	"regulation of symbiosis, encompassing mutualism through parasitism"	"23/756"	"225/16655"	0.000241670339275427	0.0472623124374292	0.0442085284248917	"ADARB1/APOBEC3C/CDK9/EIF2AK2/EIF2AK4/ERCC2/ERCC3/GTF2F2/GTF2H1/OAS1/PARP10/POLR2C/POLR2L/RAD23A/RSAD2/SMARCA4/SUPT5H/TRIM14/TRIM15/TRIM21/TRIM25/TRIM8/VAPA"	23	"BP"
"GO:0003725"	"double-stranded RNA binding"	"11/772"	"59/16742"	6.87646889542283e-05	0.0342823932584624	0.0319034273166247	"ACTN1/ADARB1/AGO3/DDX58/DDX60/EIF2AK2/ELAVL1/HSPD1/MTDH/OAS1/TUBB4B"	11	"MF"
"GO:0048037"	"cofactor binding"	"27/772"	"263/16742"	8.73436770916238e-05	0.0342823932584624	0.0319034273166247	"ACBD7/AIFM1/AOC2/C3/CRY2/CRYL1/CRYZ/DHODH/DLD/ETFA/GCLC/GOT1L1/GOT2/GPT/HIBADH/HMBS/ILVBL/ME3/NDUFS2/PDXDC1/PGAM2/PPOX/QDPR/SDSL/SGPL1/SIRT7/TH"	27	"MF"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"16/781"	"98/17839"	5.14398360309851e-06	0.00269544740802362	0.00250160044698054	"CARM1/CREBBP/E2F1/ERCC2/ERCC3/GTF2F2/GTF2H1/HNRNPAB/ING2/NCOA3/RXRA/SMAD2/TADA3/TAF10/TAF3/TAF5L"	16	"CC"
"GO:0061695"	"transferase complex, transferring phosphorus-containing groups"	"26/781"	"238/17839"	1.73826249564247e-05	0.00455424773858326	0.00422672248940431	"BECN1/CCNE1/CDK9/CDKN1A/DNAJA3/ERCC2/ERCC3/GTF2F2/GTF2H1/HSPD1/MAP3K13/PFKM/PIK3CB/PIK3R1/POLG/POLR1E/POLR2C/POLR2L/PRKAG3/TADA3/TAF10/TAF3/TAF5L/TGFBR2/TWISTNB/UVRAG"	26	"CC"
"GO:0044798"	"nuclear transcription factor complex"	"16/781"	"125/17839"	0.000112663504996169	0.0164625842126812	0.0152786538896318	"CARM1/CREBBP/E2F1/ERCC2/ERCC3/GTF2F2/GTF2H1/HNRNPAB/ING2/NCOA3/RXRA/SMAD2/TADA3/TAF10/TAF3/TAF5L"	16	"CC"
"GO:1902911"	"protein kinase complex"	"13/781"	"90/17839"	0.000143064434839337	0.0164625842126812	0.0152786538896318	"CCNE1/CDK9/CDKN1A/DNAJA3/ERCC2/ERCC3/GTF2F2/GTF2H1/HSPD1/MAP3K13/PRKAG3/TGFBR2/UVRAG"	13	"CC"
"GO:1902554"	"serine/threonine protein kinase complex"	"12/781"	"79/17839"	0.00015708572722024	0.0164625842126812	0.0152786538896318	"CCNE1/CDK9/CDKN1A/DNAJA3/ERCC2/ERCC3/GTF2F2/GTF2H1/HSPD1/MAP3K13/TGFBR2/UVRAG"	12	"CC"
"GO:0032806"	"carboxy-terminal domain protein kinase complex"	"6/781"	"21/17839"	0.000212952244065225	0.0185978293150296	0.0172603397821288	"CDK9/ERCC2/ERCC3/GTF2F2/GTF2H1/HSPD1"	6	"CC"
